#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Feb 21 18:27:38 EST 2019,21,21,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ InsertTest1+ , ,DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EfficiencyTest1- EverythingTest- GetMinTest1- GetMinTest2- GetMinTest3- InsertTest2- InsertTest3- SizeTest1- SizeTest2- SizeTest3- SizeTest4- , ,
1,Thu Feb 21 18:28:38 EST 2019,21,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 InsertTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
2,Thu Feb 21 18:31:34 EST 2019,21,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 InsertTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
3,Thu Feb 21 18:34:31 EST 2019,42,21,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 GetMinTest2+ InsertTest1 InsertTest2+ InsertTest3+ SizeTest1+ , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
4,Thu Feb 21 18:40:27 EST 2019,42,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
5,Thu Feb 21 18:46:02 EST 2019,42,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
6,Mon Feb 25 17:36:28 EST 2019,42,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
7,Mon Feb 25 18:45:20 EST 2019,78,36,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1+ DelMinTest2+ DelMinTest3+ DelMinTest4+ GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2+ SizeTest3+ SizeTest4+ , ,EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest3 , ,
8,Mon Feb 25 18:58:11 EST 2019,94,16,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest+ GetMinTest1+ GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
9,Sun Mar 03 12:37:50 EST 2019,94,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
10,Sun Mar 03 12:49:27 EST 2019,94,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
